Año,EV,PHEV,tL2,tL3,area,cpl1,cpl2,cpl3,S_refor
1,0,0,13.9,21.7,11005.5,0.0,0.0,0.0,0.13
2,1,1,23.8,8.1,11381.7,1.0,1.0,1.0,0.13
3,4,11,14.6,16.4,11547.1,1.0,1.0,1.0,0.13
4,8,23,13.7,8.2,11454.4,2.0,1.0,1.0,0.13
5,16,47,13.6,21.5,11876.9,3.0,1.0,1.0,0.13
6,24,71,19.0,16.6,12133.3,4.0,1.0,1.0,0.12
7,32,95,13.5,8.0,12181.7,6.0,2.0,1.0,0.12
8,48,145,17.8,21.7,12233.4,9.0,2.0,1.0,0.11
9,57,170,22.5,17.9,12643.2,10.0,2.0,1.0,0.11
10,66,197,16.2,21.3,13217.7,12.0,3.0,1.0,0.1
11,83,248,23.9,20.8,13124.7,16.0,3.0,1.0,0.09
12,100,298,23.8,16.7,13134.3,19.0,4.0,2.0,0.08
13,201,304,20.7,19.3,15420.5,24.0,5.0,2.0,0.08
14,305,306,24.0,23.8,18254.6,30.0,5.0,2.0,0.08
15,375,310,24.0,23.9,20256.8,35.0,6.0,2.0,0.08
16,552,312,23.7,24.0,28176.5,45.0,8.0,3.0,0.09
17,731,316,23.9,20.7,34079.7,56.0,10.0,4.0,0.09
18,913,320,23.9,22.8,37050.5,66.0,12.0,4.0,0.1
19,1096,326,24.0,23.9,39795.7,77.0,14.0,5.0,0.12
20,1284,330,23.9,23.0,40000.0,88.0,16.0,6.0,0.15
21,1476,334,24.0,23.1,39999.9,99.0,18.0,6.0,0.19
22,1706,339,23.6,22.6,40000.0,111.0,20.0,7.0,0.24
23,1943,342,23.1,23.6,40000.0,125.0,23.0,8.0,0.29
24,2180,349,23.5,22.9,40000.0,139.0,25.0,9.0,0.34
25,2459,356,23.7,22.9,40000.0,155.0,28.0,10.0,0.4
26,2667,363,23.7,22.5,40000.0,167.0,29.0,11.0,0.44
27,2879,370,24.0,24.0,40000.0,180.0,32.0,11.0,0.48
28,3115,378,23.5,23.9,40000.0,193.0,34.0,12.0,0.53
29,3466,385,24.0,24.0,40000.0,213.0,37.0,13.0,0.61
30,3707,393,24.0,23.8,40000.0,228.0,40.0,14.0,0.66
31,4023,401,24.0,23.4,40000.0,248.0,43.0,15.0,0.72
<<<<<<< HEAD
=======
1,0,0,13.9,21.7,11005.5,0.0,0.0,0.0,0.13
2,1,1,23.8,8.1,11381.7,1.0,1.0,1.0,0.13
3,4,11,14.6,16.4,11547.1,1.0,1.0,1.0,0.13
4,8,23,13.7,8.2,11454.4,2.0,1.0,1.0,0.13
5,16,47,13.6,21.5,11876.9,3.0,1.0,1.0,0.13
6,24,71,19.0,16.6,12133.3,4.0,1.0,1.0,0.12
7,32,95,13.5,8.0,12181.7,6.0,2.0,1.0,0.12
8,48,145,17.8,21.7,12233.4,9.0,2.0,1.0,0.11
9,57,170,22.5,17.9,12643.2,10.0,2.0,1.0,0.11
10,66,197,16.2,21.3,13217.7,12.0,3.0,1.0,0.1
11,83,248,23.9,20.8,13124.7,16.0,3.0,1.0,0.09
12,100,298,23.8,16.7,13134.3,19.0,4.0,2.0,0.08
13,201,304,20.7,19.3,15420.5,24.0,5.0,2.0,0.08
14,305,306,24.0,23.8,18254.6,30.0,5.0,2.0,0.08
15,375,310,24.0,23.9,20256.8,35.0,6.0,2.0,0.08
16,552,312,23.7,24.0,28176.5,45.0,8.0,3.0,0.09
17,731,316,23.9,20.7,34079.7,56.0,10.0,4.0,0.09
18,913,320,23.9,22.8,37050.5,66.0,12.0,4.0,0.1
19,1096,326,24.0,23.9,39795.7,77.0,14.0,5.0,0.12
20,1284,330,23.9,23.0,40000.0,88.0,16.0,6.0,0.15
21,1476,334,24.0,23.1,39999.9,99.0,18.0,6.0,0.19
22,1706,339,23.6,22.6,40000.0,111.0,20.0,7.0,0.24
23,1943,342,23.1,23.6,40000.0,125.0,23.0,8.0,0.29
24,2180,349,23.5,22.9,40000.0,139.0,25.0,9.0,0.34
25,2459,356,23.7,22.9,40000.0,155.0,28.0,10.0,0.4
26,2667,363,23.7,22.5,40000.0,167.0,29.0,11.0,0.44
27,2879,370,24.0,24.0,40000.0,180.0,32.0,11.0,0.48
28,3115,378,23.5,23.9,40000.0,193.0,34.0,12.0,0.53
29,3466,385,24.0,24.0,40000.0,213.0,37.0,13.0,0.61
30,3707,393,24.0,23.8,40000.0,228.0,40.0,14.0,0.66
31,4023,401,24.0,23.4,40000.0,248.0,43.0,15.0,0.72
>>>>>>> 8fb761c51f684606fff599323015d1255a8ccb4d
